@RELATION electricity_data

@ATTRIBUTE peak_demand REAL
@ATTRIBUTE temperature REAL
@ATTRIBUTE population REAL
@ATTRIBUTE income REAL
@ATTRIBUTE is_holiday {0,1}

@DATA
1133.11,32.9,28400000,1216,0
1193.43,32.23,28400000,1216,0
1248.42,33.83,28400000,1216,0
1155.46,35.27,28400000,1216,0
1155.11,31.7,28400000,1216,1
1177.86,31.67,28400000,1216,0
1179.44,31.6,28400000,1216,0
1194.14,31,28400000,1216,0
1192.08,30.37,28400000,1216,0
1154.06,30.27,28400000,1216,0
1171.47,31.2,28400000,1216,0
1143.89,31.43,28400000,1216,1
1192.85,30.87,28400000,1216,0
1174.07,28.73,28400000,1216,0
1164.95,30.13,28400000,1216,0
1169.42,29.4,28400000,1216,0
1139.48,30.47,28400000,1216,0
1150.53,29.2,28400000,1216,0
1145.49,29.27,28400000,1216,1
1158.11,30.23,28400000,1216,0
1158.07,29.2,28400000,1216,0
1188.17,32.27,28400000,1216,0
1226.22,32.23,28400000,1216,0
1245.26,32.7,28400000,1216,0
1224.96,32.07,28400000,1216,0
1189.24,29.97,28400000,1216,1
1221.14,28.67,28400000,1216,0
1238.58,30.63,28400000,1216,0
1232.24,32.2,28400000,1216,0
1250.66,32.23,28400000,1216,0
1242.87,32.6,28400000,1216,0
1246.08,32.47,28400000,1216,0
1224.1,33.53,28400000,1216,1
1307.16,32.97,28400000,1216,0
1251.9,31.77,28400000,1216,0
1260.16,31.93,28400000,1216,0
1233.2,31.23,28400000,1216,0
1245.54,31.03,28400000,1216,0
1137.26,29.57,28400000,1216,0
1151.3,28.43,28400000,1216,1
1132.86,31.97,28400000,1216,0
1200.63,31.5,28400000,1216,0
1205.42,29.87,28400000,1216,0
1197.5,31.5,28400000,1216,0
1196.37,29.07,28400000,1216,0
1219.76,31.43,28400000,1216,0
1127.36,32.9,28400000,1216,1
1179.11,29.57,28400000,1216,0
1198.07,30.17,28400000,1216,0
1284.28,32.7,28400000,1216,0
1264.6,33.03,28400000,1216,0
1246.93,31.87,28400000,1216,0
1253.85,31.77,28400000,1216,0
1218.53,32,28400000,1216,1
1231.97,31.5,28400000,1216,0
1182.13,28.4,28400000,1216,0
1151.16,27.33,28400000,1216,0
1210.22,29,28400000,1216,0
1235.18,30.4,28400000,1216,0
1214.47,30.67,28400000,1216,0
1221.49,31.63,28400000,1216,1
1219.53,31.27,28400000,1216,0
1120.27,32.4,28400000,1216,0
1241.07,32.53,28400000,1216,0
1210.8,32.67,28400000,1216,1
1203.52,31,28400000,1216,0
1171.94,28.97,28400000,1216,0
1150.04,29.03,28400000,1216,1
1224.31,31.37,28400000,1216,0
1256.1,31.57,28400000,1216,0
1213.8,31.73,28400000,1216,0
1242.76,31.53,28400000,1216,0
1257.98,32,28400000,1216,0
1281.04,31.8,28400000,1216,0
1218.93,31.93,28400000,1216,1
1272.87,32.07,28400000,1216,0
1251.75,31.77,28400000,1216,0
1270.87,31.07,28400000,1216,0
1270.72,30.03,28400000,1216,0
1217.14,29.3,28400000,1216,0
1243.99,29.7,28400000,1216,0
1173.77,30.07,28400000,1216,1
1188.54,28.93,28400000,1216,0
1205.57,28.6,28400000,1216,0
1215.7,28.67,28400000,1216,0
1202.83,29.13,28400000,1216,0
1174.59,28.2,28400000,1216,0
1155.88,27.67,28400000,1216,0
1156.25,28.3,28400000,1216,1
1124.64,29.17,28400000,1216,0
1120.69,28.73,28400000,1216,0
1014.27,28.07,28400000,1216,1
941.58,27.9,28400000,1216,1
932.5,28.37,28400000,1216,1
872.82,27.6,28400000,1216,1
934,27.8,28400000,1216,1
979.76,27.9,28400000,1216,0
1052.71,27.87,28400000,1216,0
1094.17,27.73,28400000,1216,0
1095.24,27.43,28400000,1216,0
1098.82,27.2,28400000,1216,0
1118.04,27.77,28400000,1216,0
1051.76,28.2,28400000,1216,1
1134.15,27.63,28400000,1216,0
1141.47,27.7,28400000,1216,0
1150.56,28.67,28400000,1216,0
1164.63,29.23,28400000,1216,0
1175.22,28.83,28400000,1216,0
1157.97,27.97,28400000,1216,0
1106.66,27.67,28400000,1216,1
1145.47,26.33,28400000,1216,0
1185.76,26.37,28400000,1216,0
1185.28,26.2,28400000,1216,0
1097.21,26,28400000,1216,1
1087.52,25.9,28400000,1216,1
1011.12,26,28400000,1216,1
1021.39,26.17,28400000,1216,1
1100.89,26.33,28400000,1216,0
1102.2,25.87,28400000,1216,0
1050.95,25.5,28400000,1216,0
1093.2,25,28400000,1216,0
1108.58,25.3,28400000,1216,0
1118.95,24.6,28400000,1216,0
1076.57,24.13,28400000,1216,1
1122.54,23.7,28400000,1216,0
1125.13,23.67,28400000,1216,0
1141.47,23.9,28400000,1216,0
1121.18,23.27,28400000,1216,0
1136.28,24.43,28400000,1216,0
1088.35,25.17,28400000,1216,0
1052.48,24.67,28400000,1216,1
1122.71,25.87,28400000,1216,0
1126.25,25.53,28400000,1216,0
1143.2,23.33,28400000,1216,0
1153.64,24.8,28400000,1216,0
1148.45,25.33,28400000,1216,0
1133.34,24,28400000,1216,0
1106.69,22.73,28400000,1216,1
1133.72,23.4,28400000,1216,0
1131.52,22.8,28400000,1216,0
1156.17,23.03,28400000,1216,0
1141.32,22.03,28400000,1216,0
1151.68,22.8,28400000,1216,0
1152.19,22.37,28400000,1216,0
1070.36,22.3,28400000,1216,1
1169.53,23.17,28400000,1216,0
1149.58,23.37,28400000,1216,0
1170.51,23.67,28400000,1216,0
1170.59,23.17,28400000,1216,0
1137.44,23.67,28400000,1216,0
1164.28,23.77,28400000,1216,0
1072.86,23.63,28400000,1216,1
1151.52,24.2,28400000,1216,0
1201.89,20.3,28400000,1216,0
1196.58,18.37,28400000,1216,0
1201.21,19.23,28400000,1216,0
1194.52,21.3,28400000,1216,0
1178.2,20.73,28400000,1216,0
1095.69,20.87,28400000,1216,1
1198.73,22.67,28400000,1216,0
1203.92,21.97,28400000,1216,0
1203.5,21.33,28400000,1216,0
1235.29,20.2,28400000,1216,0
1240.61,19.9,28400000,1216,0
